Município;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Extremoz (RN);66251.391;74100.88;82850.806;79748.557;88622.983;102156.357;114092.692;130101.608;142128.442;169132.264;189815.91;228142.843;240933.132;274837.111;320131.89;351836.526;373988.329;447940.238;487996.04;510378.315
Felipe Guerra (RN);41162.637;39803.581;43573.102;67352.123;90594.303;105954.591;82868.184;61932.924;71825.891;86150.732;112670.487;117720.535;108015.402;79856.568;64579.386;73049.4;93822.991;98203.486;96876.814;169807.156
Fernando Pedroza (RN);5556.646;5638.697;6707.726;7912.297;9096.612;10433.82;11596.476;13191.434;13212.342;15234.758;17657.178;21847.86;22307.285;23441.951;25331.472;31248.724;30476.643;33553.185;35766.153;37398.833
Florânia (RN);19720.763;18444.737;22910.318;23029.947;26332.771;27886.035;29774.615;36293.538;37648.971;47211.402;53566.401;58263.686;67901.536;75109.782;78282.264;77581.201;88635.139;93487.28;103180.845;112105.814
Francisco Dantas (RN);6657.891;7319.474;7659.694;9172.201;9832.935;11200.284;12934.673;13148.245;13402.934;16463.234;17223.391;23990.637;24789.744;22028.565;22740.654;24294.559;24799.25;28311.764;29652.858;31763.12
Frutuoso Gomes (RN);8405.494;9867.096;10734.435;12020.835;14290.867;15871.509;17830.784;19258.43;19749.097;23379.063;24763.378;27275.056;28273.029;32347.474;29155.487;33706.076;35629.552;38559.228;39561.012;42209.206
Galinhos (RN);32388.392;39930.114;50178.943;48561.823;36580.579;30236.766;47747.432;62738.782;63751.02;50636.8;48892.267;46898.489;45192.767;55579.243;58154.945;61972.022;66566.526;96586.506;82892.684;153593.038
Goianinha (RN);56102.862;54062.81;58585.137;66104.74;80977.073;107989.89;112992.926;136814.291;139819.4;169335.905;185492.027;213160.62;241146.876;265518.279;292254.13;335009.601;399183.955;428642.094;469102.952;494281.561
Governador Dix-Sept Rosado (RN);93697.781;100098.845;111844.177;147731.088;158410.388;145804.029;156639.241;116850.588;174600.194;255770.874;275343.017;255156.11;261248.98;191500.698;138080.883;187120.194;206016.047;237163.127;224921.466;367835.522
Grossos (RN);70767.761;76755.962;103877.202;112622.274;132171.849;130214.317;149966.046;119648.997;153980.896;222709.677;146543.292;146553.831;130036.247;121539.938;104369.725;122261.734;147603.007;160948.603;134339.528;145675.079
Guamaré (RN);127102.862;139644.139;230555.121;238488.366;332433.634;423344.333;589195.881;515749.236;647609.796;206420.229;-92078.042;-67393.88;196099.642;1165214.727;1791770.732;1555642.977;1317124.164;1605894.998;1656891.893;1961373.414
Ielmo Marinho (RN);18998.518;22858.847;26745.869;31742.051;37468.532;41656.746;45951.809;51258.007;59820.43;60449.849;68890.504;76025.638;84744.345;86206.618;92669.084;100683.855;105183.688;114856.872;122964.185;133977.358
Ipanguaçu (RN);36704.04;45679.818;48785.392;49447.141;53533.552;59504.289;60658.339;68585.554;70830.272;82849.041;86790.011;100214.47;109681.965;109693.741;128881.033;127527.967;134212.251;148591.606;158802.862;183125.234
Ipueira (RN);4798.483;5157.962;5967.129;7312.322;8446.721;9642.413;10188.77;12187.595;12569.781;13942.314;14901.335;16897.825;18948.853;20345.723;22265.376;25319.009;25643.978;27746.645;29017.554;33230.053
Itajá (RN);15154.275;15894.832;17384.721;21484.608;22435.126;25609.389;28265.331;32396.073;37668.259;46970.093;51167.396;53394.638;60340.805;62231.853;62947.435;80177.246;68085.135;74303.489;75661.017;90585.521
Itaú (RN);11740.027;13158.394;14152.434;15009.374;18275.357;20156.298;22327.625;28672.122;25894.249;30521.942;36151.466;41715.534;40157.873;41003.379;44549.753;46355.851;61335.482;65468.841;68565.117;68311.609
Jaçanã (RN);14379.555;18079.117;19634.879;20020.123;23281.36;27016.592;30056.502;31533.743;33937.66;40569.474;40242.657;49253.34;50076.234;53917.656;54297.317;59326.394;64333.241;71000.244;74894.541;82311.862
Jandaíra (RN);12551.832;14433.955;15482.422;17324.992;18652.133;20938.103;22397.325;25583.745;27876.424;32285.964;35885.48;42554.08;44954.146;54968.832;161333.309;66891.971;62566.419;67123.248;69696.745;82666.526
Janduís (RN);12290.186;12157.098;13472.723;15209.535;15978.743;19497.353;22159.824;26085.671;28175.77;33027.237;35852.073;40360.594;42273.39;50073.887;53520.778;58926.15;63721.485;83581.722;83714.304;81236.461
Januário Cicco (RN);17133.298;21178.523;26924.462;31751.326;30817.235;35603.023;35931.593;37101.285;36952.093;42225.251;44450.675;48742.241;52955.47;55473.628;60039.271;63641.931;66969.075;75168.392;78833.039;80338.017
Japi (RN);9920.66;11319.147;12789.169;13445.757;15522.211;17852.916;24416.561;22328.416;23402.394;26392.443;25560.708;30446.206;30328.094;33504.464;36169.511;38801.735;39790.925;43691.01;45310.899;49952.453
